合同类型,合同价格,服务团队
单所学校申请,35000,前期咨询师、高级咨询师、咨询总监、海外行业导师、外教、前招生官
全程申请服务(1个专业/8所)国内版,55000,前期咨询师、高级咨询师
全程申请服务(1个专业/8所)精简版,68000,前期咨询师、高级咨询师、海外行业导师、外教、前招生官
全程申请服务(1个专业/8所),70000,前期咨询师、高级咨询师、海外行业导师、外教、前招生官
全程申请服务Plus(2个专业/12所)精简版,78000,前期咨询师、高级咨询师、海外行业导师、外教、前招生官
全程申请服务Plus(2个专业/12所),80000,前期咨询师、高级咨询师、海外行业导师、外教、前招生官
全程申请服务Max(2个专业/12所),99800,前期咨询师、高级咨询师、咨询总监、海外行业导师、外教、前招生官
全程申请服务VIP(3个专业/15所),128000,前期咨询师、高级咨询师、咨询总监、首席咨询师、海外行业导师、外教、前招生官
全程申请服务VIP(3个专业/15所)尊享版,158000,前期咨询师、高级咨询师、咨询总监、首席咨询师、海外行业导师、外教、前招生官
非美学校全程申请(1个专业/6所),25000,前期咨询师、高级咨询师
非美精英学校全程申请(2个专业/8所),38000,前期咨询师、高级咨询师、海外行业导师
Deferred MBA单所学校申请,40000,前期咨询师、高级咨询师、咨询总监、首席MBA咨询师、海外行业导师、外教、前招生官
多加一个专业,8000,
多加一所学校,1500,
多加一所Deferred MBA项目(全程申请服务学员),5000,
多加一所Deferred MBA项目(Deferred MBA申请学员),10000,
申请策略咨询(申请策略),10000,高级咨询师、咨询总监
申请策略咨询(背景提升),10000,高级咨询师、咨询总监
选校服务,5000,高级咨询师、咨询总监
一对一模拟面试,1400,前招生官
小组面试辅导,700,前招生官/首席咨询师
网申填写服务,300,咨询师助理
签证服务,5000,高级咨询师
Boot Camp,5000,咨询总监、首席咨询师
文书润色(有文书),2000,高级咨询师、外教
文书修改(有文书),6500,高级咨询师、海外行业导师
文书写作(无文书),10000,高级咨询师、海外行业导师
简历修改(有简历),3500,高级咨询师、海外行业导师
简历写作(无简历),5000,高级咨询师、海外行业导师
推荐信修改(有推荐信),2000,高级咨询师、海外行业导师
推荐信写作(无推荐信),3000,高级咨询师、海外行业导师
首席咨询师,5000,首席咨询师
美国名企PTA,35000,高级求职咨询师、美国名企导师
美国名企PTA小班课,17500,高级求职咨询师、美国名企导师
美国本地远程实习(SI)4周,21000,高级求职咨询师、美国企业高管
美国本地远程实习(SI)6周,24500,高级求职咨询师、美国企业高管
美国本地远程实习(SI)8周,31500,高级求职咨询师、美国企业高管
美国本地实地实习(SI)4周,24500,高级求职咨询师、美国企业高管
美国本地实地实习(SI)6周,28000,高级求职咨询师、美国企业高管
美国本地实地实习(SI)8周,35000,高级求职咨询师、美国企业高管
BA商业分析九天集训营,3988,Zoe导师（Capital One数据科学家）
CPT - Placement ,31500,高级求职咨询师、海外行业导师、海外猎头团队
CPT - C+P,45500,高级求职咨询师、海外行业导师、海外猎头团队
OPT - Placement ,38500,高级求职咨询师、海外行业导师、海外猎头团队
OPT - C+P,52500,高级求职咨询师、海外行业导师、海外猎头团队
美国秋招集训营,3988,TDC求职团队
GRE/GMAT智能培训系统-90天,5800,魔力学院
GRE/GMAT智能培训系统-180天,9800,魔力学院 
GRE/GMAT智能培训系统-360天,15800,魔力学院 
名师陪学服务-30天,19800,魔力学院 
名师陪学服务-60天,28800,魔力学院 
名师陪学服务-90天,36800,魔力学院 
规划+模考+诊断报告,199,小宇团队
GRE基础班,1499,小宇团队
GRE刷题营,7800,小宇团队
GRE21天冲分计划,10800,小宇团队
GRE无忧小组,19600,小宇团队
GMAT录播刷题营- 完全版VIP（含10小时一对一） ,13800,小宇团队
GRE集训营线上版（小班课）-15天,11700,小宇团队
GRE集训营线上版（小班课）-20天,15600,小宇团队
GRE集训营线上版（小班课）-25天,19500,小宇团队
GRE集训营线下版（小班课）-15天,15200,小宇团队
GRE集训营线下版（小班课）-20天,19600,小宇团队
GRE集训营线下版（小班课）-25天,24800,小宇团队
GRE/GMATVIP一对一,1000,小宇团队
